subbasin,site_code,det_prob
Entiat,ENL,0.95701675
Entiat,ENA,0.99734880746775
Entiat,MAD,0.9995279501333636
Wenatchee,LWE,0.7626160833333333
Wenatchee,PES,0.9889986599840069
Wenatchee,ICL,0.9949348962093713
Wenatchee,CHM,0.9927071128925227
Wenatchee,MCL,0.9943580964525833
Wenatchee,TUM,0.9963403312847222
Methow,LMR,0.8665846666666667
Methow,MRW,0.9708569880635
Methow,MSH,0.97658761023
Methow,TWR,0.9835246183122778
Methow,LBC,0.9859299655805334
Methow,CRW,0.9874258605460555
Methow,BVC,0.9951735669013333
Methow,GLC,0.9951739782652778
Methow,SCP,0.9980188267717778
Okanogan,OKL,0.7863462222222222
Okanogan,ZSL,0.9626986142453333
Okanogan,SA1,0.9920860860262963
Okanogan,ANT,0.9915438505427778
Okanogan,BPC,0.9943341154671111
Okanogan,LLC,0.9915865041455802
Okanogan,OMK,0.9903645351028889
