strPITtag,strFate
3D9.1C2D743DAF,B
3DD.003BDDB77A,L
3DD.003D28A598,L
3DD.003D3A1430,B
3DD.003D3A179D,T
3DD.003D3A1BCC,T
3DD.003D438022,T
3DD.003D4380AA,T
3DD.003D4381B4,T
3DD.003D438652,T
3DD.003D438C7A,T
3DD.003D469C7D,T
3DD.003D778B09,L
3DD.003D82A8FE,T
3DD.003D82AE75,L
3DD.003D874AE8,T
3DD.003DA28941,T
3DD.003DA28966,L
3DD.003DA28971,B
3DD.003DA28987,B
3DD.003DA2898A,L
3DD.003DA289B4,T
3DD.003DA289C0,B
3DD.003DA289DB,T
3DD.003DA289F1,B
3DD.003DA289F7,T
3DD.003DA289FE,T
3DD.003DA289FF,T
3DD.003DA28A0C,T
3DD.003DA28A0E,T
3DD.003DA28A12,T
3DD.003DA28A24,B
3DD.003DA28A3B,B
3DD.003DA28A43,T
3DD.003DA28A45,B
3DD.003DA28A51,L
3DD.003DA28A60,T
3DD.003DA28A66,B
3DD.003DA28A67,T
3DD.003DA28A6E,T
3DD.003DA28A7A,T
3DD.003DA28A7F,T
3DD.003DA28A8E,L
3DD.003DA28AB8,L
3DD.003DA28ACD,L
3DD.003DA28AD9,T
3DD.003DA28ADA,T
3DD.003DA28AED,T
3DD.003DA28AF2,T
3DD.003DA28AFF,T
3DD.003DA28B01,T
3DD.003DA28B22,T
3DD.003DA28B35,T
3DD.003DA28B61,B
3DD.003E215F27,D
3DD.0077A0563B,L
3DD.0077A4B304,B
3DD.0077CA5F72,T
3DD.0077CFB293,L
